elasticity,ticket_price,revenue,tickets,avg_genres
1.0,8.0,94359.96336000002,11794.995420000001,19.0
1.0,8.5,94359.96336000002,11101.17216,19.0
1.0,9.0,94359.96336000004,10484.440373333335,19.0
1.0,9.5,94359.96336000001,9932.627722105262,19.0
1.0,10.0,94359.96336000001,9435.996336,19.0
1.0,10.5,94359.96336000002,8986.663177142858,19.0
1.0,11.0,94359.96336000004,8578.178487272728,19.0
1.0,11.5,94359.96336000001,8205.214205217391,19.0
1.0,12.0,94359.96336000002,7863.33028,19.0
1.0,12.5,94359.96336000002,7548.7970688000005,19.0
1.0,13.0,94359.96336000002,7258.45872,19.0
1.0,13.5,94359.96336000002,6989.6269155555565,19.0
1.0,14.0,94359.96336000002,6739.997382857144,19.0
1.0,14.5,94359.96336000002,6507.583680000001,19.0
1.0,15.0,94359.96336000002,6290.664224,19.0
1.0,15.5,94359.96336000002,6087.739571612904,19.0
1.0,16.0,94359.96336000002,5897.497710000001,19.0
1.0,16.5,94359.96336000004,5718.785658181819,19.0
1.0,17.0,94359.96336000002,5550.58608,19.0
1.0,17.5,94359.96336000004,5391.997906285715,19.0
