Penalty,Optimal_Price,Revenue,Tickets,Max_Showings
$0,$8.00,"$97,684","12,211",2.0
$25,$8.00,"$97,684","12,211",1.0
$50,$8.00,"$97,684","12,211",1.0
$75,$8.00,"$97,684","12,211",1.0
$100,$8.00,"$97,684","12,211",1.0
$150,$8.00,"$97,684","12,211",1.0
$200,$8.00,"$97,684","12,211",1.0
$250,$8.00,"$97,764","12,127",1.0
$300,$8.00,"$98,012","12,027",1.0
