Parameter,Baseline Value,Min Revenue,Max Revenue,Revenue Range
Ticket Price,$11.31,"$224,624.00","$491,365.00",84.0%
Buffer Time,15 min,"$317,562.18","$317,562.18",0.0%
Max Showings,5,"$173,766.84","$329,776.98",49.1%
Demand Level,1.0x,"$164,628.36","$604,089.72",138.4%
Operating Hours,12.0 hrs,"$305,731.92","$317,562.18",3.7%
