price,penalty,revenue,tickets,showings,unique_movie_days,max_showings_per_movie_day,avg_genres
8.0,0,97684.35772719195,12210.544715898995,107.0,98,2.0,19.0
8.0,25,97684.35772719195,12210.544715898995,98.0,98,1.0,19.0
8.0,50,97684.35772719195,12210.544715898995,98.0,98,1.0,19.0
8.0,75,97684.35772719198,12210.544715898995,98.0,98,1.0,19.0
8.0,100,97684.35772719198,12210.544715898995,98.0,98,1.0,19.0
8.0,150,97684.35772719198,12210.544715898995,98.0,98,1.0,19.0
8.0,200,97684.35772719198,12210.544715898995,98.0,98,1.0,19.0
8.0,250,97763.97800230121,12126.747250287652,95.0,98,1.0,19.0
8.0,300,98012.1122443218,12026.514030540227,92.0,98,1.0,19.0
9.0,0,96540.55098297303,10726.727886996998,105.0,98,2.0,19.0
9.0,25,96540.55098297303,10726.727886996998,98.0,98,1.0,19.0
9.0,50,96540.55098297301,10726.727886996998,98.0,98,1.0,19.0
9.0,75,96540.55098297301,10726.727886996998,98.0,98,1.0,19.0
9.0,100,96540.55098297301,10726.727886996998,98.0,98,1.0,19.0
9.0,150,96540.550982973,10726.727886996998,98.0,98,1.0,19.0
9.0,200,96540.55098297303,10726.727886996998,98.0,98,1.0,19.0
9.0,250,96628.0208756501,10653.113430627784,95.0,98,1.0,19.0
9.0,300,96888.85451960219,10532.094946622465,91.0,98,1.0,19.0
10.0,0,95528.73439549062,9552.873439549065,105.0,98,2.0,19.0
10.0,25,95528.7343954906,9552.873439549065,98.0,98,1.0,19.0
10.0,50,95528.73439549062,9552.873439549065,98.0,98,1.0,19.0
10.0,75,95528.73439549062,9552.873439549065,98.0,98,1.0,19.0
10.0,100,95528.7343954906,9552.873439549065,98.0,98,1.0,19.0
10.0,150,95528.7343954906,9552.873439549065,98.0,98,1.0,19.0
10.0,200,95528.73439549057,9552.873439549065,98.0,98,1.0,19.0
10.0,250,95623.14809515316,9487.31480951532,95.0,98,1.0,19.0
10.0,300,95895.39701045351,9379.539701045353,91.0,98,1.0,19.0
11.0,0,94622.57348792153,8602.05213526559,106.0,98,2.0,19.0
11.0,25,94622.57348792152,8602.05213526559,98.0,98,1.0,19.0
11.0,50,94622.57348792152,8602.05213526559,98.0,98,1.0,19.0
11.0,75,94622.57348792152,8602.05213526559,98.0,98,1.0,19.0
11.0,100,94622.57348792152,8602.05213526559,98.0,98,1.0,19.0
11.0,150,94622.5734879215,8602.05213526559,98.0,98,1.0,19.0
11.0,200,94622.57348792147,8602.05213526559,98.0,98,1.0,19.0
11.0,250,94723.20590994715,8543.018719086103,95.0,98,1.0,19.0
11.0,300,95005.67809374598,8445.970735795088,91.0,98,1.0,19.0
12.0,0,93802.82100811045,7816.901750675868,105.0,98,2.0,19.0
12.0,25,93802.82100811043,7816.901750675868,98.0,98,1.0,19.0
12.0,50,93802.8210081104,7816.901750675868,98.0,98,1.0,19.0
12.0,75,93802.82100811042,7816.901750675868,98.0,98,1.0,19.0
12.0,100,93802.8210081104,7816.901750675868,98.0,98,1.0,19.0
12.0,150,93802.8210081104,7816.901750675868,98.0,98,1.0,19.0
12.0,200,93802.82100811042,7816.901750675868,98.0,98,1.0,19.0
12.0,250,93909.07915624701,7763.2565963539155,95.0,98,1.0,19.0
12.0,300,94200.79975236794,7675.066646030663,91.0,98,1.0,19.0
13.0,0,93054.99472471168,7158.07651728551,104.0,98,2.0,19.0
13.0,25,93054.9947247117,7158.07651728551,98.0,98,1.0,19.0
13.0,50,93054.99472471168,7158.07651728551,98.0,98,1.0,19.0
13.0,75,93054.99472471167,7158.07651728551,98.0,98,1.0,19.0
13.0,100,93054.9947247117,7158.07651728551,98.0,98,1.0,19.0
13.0,150,93054.99472471168,7158.07651728551,98.0,98,1.0,19.0
13.0,200,93054.99472471167,7158.07651728551,98.0,98,1.0,19.0
13.0,250,93166.38499010625,7108.952691546632,95.0,98,1.0,19.0
13.0,300,93466.54253028597,7028.195579252766,91.0,98,1.0,19.0
14.0,0,92367.93201458802,6597.709429613433,104.0,98,2.0,19.0
14.0,25,92367.93201458802,6597.709429613433,98.0,98,1.0,19.0
14.0,50,92367.93201458802,6597.709429613433,98.0,98,1.0,19.0
14.0,75,92367.93201458805,6597.709429613433,98.0,98,1.0,19.0
14.0,100,92367.93201458805,6597.709429613433,98.0,98,1.0,19.0
14.0,150,92367.93201458805,6597.709429613433,98.0,98,1.0,19.0
14.0,200,92367.93201458805,6597.709429613433,98.0,98,1.0,19.0
14.0,250,92484.03739426819,6552.431242447728,95.0,98,1.0,19.0
14.0,300,92791.94634647886,6477.996167605634,91.0,98,1.0,19.0
15.0,0,91732.85244559826,6115.523496373214,104.0,98,2.0,19.0
15.0,25,91732.85244559826,6115.523496373214,98.0,98,1.0,19.0
15.0,50,91732.85244559824,6115.523496373214,98.0,98,1.0,19.0
15.0,75,91732.85244559823,6115.523496373214,98.0,98,1.0,19.0
15.0,100,91732.85244559821,6115.523496373214,98.0,98,1.0,19.0
15.0,150,91732.85244559823,6115.523496373214,98.0,98,1.0,19.0
15.0,200,91732.85244559826,6115.523496373214,98.0,98,1.0,19.0
15.0,250,91853.31619417846,6073.554412945229,95.0,98,1.0,19.0
15.0,300,92168.39008685105,6004.559339123403,91.0,98,1.0,19.0
16.0,0,91142.72851655359,5696.420532284597,103.0,98,2.0,19.0
16.0,25,91142.72851655359,5696.420532284597,98.0,98,1.0,19.0
16.0,50,91142.72851655359,5696.420532284597,98.0,98,1.0,19.0
16.0,75,91142.72851655359,5696.420532284597,98.0,98,1.0,19.0
16.0,100,91142.72851655356,5696.420532284597,98.0,98,1.0,19.0
16.0,150,91142.72851655356,5696.420532284597,98.0,98,1.0,19.0
16.0,200,91142.72851655356,5696.420532284597,98.0,98,1.0,19.0
16.0,250,91269.26509971418,5626.204068732136,93.0,98,1.0,19.0
16.0,300,91588.97376190574,5593.06086011911,91.0,98,1.0,19.0
17.0,0,90591.8506969846,5328.932393940272,103.0,98,2.0,19.0
17.0,25,90591.8506969846,5328.932393940272,98.0,98,1.0,19.0
17.0,50,90591.85069698459,5328.932393940272,98.0,98,1.0,19.0
17.0,75,90591.8506969846,5328.932393940272,98.0,98,1.0,19.0
17.0,100,90591.85069698462,5328.932393940272,98.0,98,1.0,19.0
17.0,150,90591.85069698462,5328.932393940272,98.0,98,1.0,19.0
17.0,200,90593.9571940595,5305.526893768207,96.0,98,1.0,19.0
17.0,250,90726.49962055165,5248.617624738335,92.0,98,1.0,19.0
17.0,300,91048.09143872105,5232.240672865948,91.0,98,1.0,19.0
