demand_multiplier,revenue,tickets,showings,capacity_utilization
0.5,45310.86509886911,3020.7243399246045,98.0,0.14677960835396522
0.75,68246.67305719008,4549.778203812672,98.0,0.22107765810557198
1.0,91116.51033106718,6074.434022071147,98.0,0.29516200301609075
1.25,114074.30851753622,7604.953901169079,98.0,0.3695312877147269
1.5,137010.11647585718,9134.007765057146,98.0,0.44382933746633363
2.0,182826.75682212936,12188.45045480862,98.0,0.5922473496019738
2.5,228692.35319506715,15249.490213004483,100.0,0.7261662006192611
3.0,274466.97888356145,18306.131925570753,103.0,0.8463306484313802
