metric,value
total_revenue,7250.00311
total_showings,7.0
total_tickets_sold,207.781
num_movies_scheduled,105.0
num_screens_used,1.0
avg_showings_per_movie,7.0
avg_tickets_per_showing,29.683
capacity_utilization,0.14134761904761906
