Metric,Value
Total Revenue,"$104,047.38"
Total Tickets Sold,"6,936"
Total Showings,105
Movies Scheduled,105
Screens Used,11 / 19
Capacity Utilization,31.5%
Demand Fulfillment Rate,73.3%
Average Genres per Day,19.0
