elasticity,ticket_price,revenue,tickets,avg_genres
1.8,8.0,124426.06706272469,15559.50838284058,19.0
1.8,8.5,118583.07473216046,13950.949968489465,19.0
1.8,9.0,113282.76480515314,12586.973867239245,19.0
1.8,9.5,108487.31562414627,11419.717434120665,19.0
1.8,10.0,104125.67925743101,10412.567925743097,19.0
1.8,10.5,100139.72819127957,9537.116970598056,19.0
1.8,11.0,96481.42281302658,8771.038437547873,19.0
1.8,11.5,93110.69647898899,8096.582302520782,19.0
1.8,12.0,89993.85394615766,7499.4878288464715,19.0
1.8,12.5,87102.34293760205,6968.1874350081625,19.0
1.8,13.0,84411.80085395875,6493.215450304522,19.0
1.8,13.5,81901.30706294454,6066.763486144039,19.0
1.8,14.0,79552.79065226337,5682.342189447386,19.0
1.8,14.5,77350.55705979693,5334.521176537721,19.0
1.8,15.0,75280.90654097976,5018.727102731983,19.0
1.8,15.5,73331.82426012795,4731.085436137289,19.0
1.8,16.0,71492.72673572622,4468.295420982888,19.0
1.8,16.5,69754.25299047801,4227.530484271394,19.0
1.8,17.0,68108.09143766157,4006.3583198624465,19.0
1.8,17.5,66546.83554001599,3802.676316572339,19.0
