elasticity,ticket_price,revenue,tickets,avg_genres
1.2,8.0,101125.8737794195,12640.734222427433,19.0
1.2,8.5,99907.13370521172,11753.780435907267,19.0
1.2,9.0,98771.53034214581,10974.614482460642,19.0
1.2,9.5,97709.22385223032,10285.181458129508,19.0
1.2,10.0,96711.98218239957,9671.198218239955,19.0
1.2,10.5,95772.85296362585,9121.224091773884,19.0
1.2,11.0,94885.91447750108,8625.992225227377,19.0
1.2,11.5,94046.08397533729,8177.920345681506,19.0
1.2,12.0,93248.9682675053,7770.747355625442,19.0
1.2,12.5,92490.74591978738,7399.259673582987,19.0
1.2,13.0,91768.07339548878,7059.082568883751,19.0
1.2,13.5,91078.00955765019,6746.519226492604,19.0
1.2,14.0,90417.95440404209,6458.425314574432,19.0
1.2,14.5,89785.59894747134,6192.110272239399,19.0
1.2,15.0,89178.88390547052,5945.258927031367,19.0
1.2,15.5,88595.96541344034,5715.86873635099,19.0
1.2,16.0,88035.18638248632,5502.199148905398,19.0
1.2,16.5,87495.05242788242,5302.730450174692,19.0
1.2,17.0,86974.21152437331,5116.130089669018,19.0
1.2,17.5,86471.43672020712,4941.224955440412,19.0
