buffer_min,revenue,tickets,showings
0,317562.18,28078.0,139.0
5,317562.18,28078.0,135.0
10,317562.18,28078.0,129.0
15,317562.18,28078.0,129.0
20,317562.18,28078.0,129.0
25,317562.18,28078.0,132.0
30,317562.18,28078.0,134.0
