max_showings,revenue,tickets,avg_genres
1,91732.85244559826,6115.523496373214,19.0
2,91732.85244559826,6115.523496373214,19.0
3,91732.85244559826,6115.523496373214,19.0
4,91732.85244559826,6115.523496373214,19.0
5,91732.85244559826,6115.523496373214,19.0
6,91732.85244559826,6115.523496373214,19.0
8,91732.85244559826,6115.523496373214,19.0
10,91732.85244559826,6115.523496373214,19.0
12,91732.85244559826,6115.523496373214,19.0
15,91732.85244559826,6115.523496373214,19.0
