min_genres,revenue,avg_genres,status
0,91732.85244559826,12.0,Optimal
3,91732.85244559826,19.0,Optimal
5,91732.85244559826,19.0,Optimal
7,91732.85244559826,19.0,Optimal
10,91732.85244559826,19.0,Optimal
12,91732.85244559826,19.0,Optimal
15,91732.85244559826,19.0,Optimal
