Price,Optimal_Penalty,Revenue,Tickets,Max_Showings,Unique_Movie_Days
$8.00,$300,"$98,012","12,027",1.0,98.0
$9.00,$300,"$96,889","10,532",1.0,98.0
$10.00,$300,"$95,895","9,380",1.0,98.0
$11.00,$300,"$95,006","8,446",1.0,98.0
$12.00,$300,"$94,201","7,675",1.0,98.0
$13.00,$300,"$93,467","7,028",1.0,98.0
$14.00,$300,"$92,792","6,478",1.0,98.0
$15.00,$300,"$92,168","6,005",1.0,98.0
$16.00,$300,"$91,589","5,593",1.0,98.0
$17.00,$300,"$91,048","5,232",1.0,98.0
