max_showings,revenue,tickets,showings
1,173766.84000000003,15364.0,98.0
2,224605.29000000004,19859.0,109.0
3,271428.69000000006,23999.0,116.0
4,298606.61999999994,26402.0,123.0
5,317562.18,28078.0,129.0
6,329776.98,29158.0,136.0
7,329776.98,29158.0,137.0
8,329776.98,29158.0,138.0
10,329776.98,29158.0,140.0
15,329776.98,29158.0,141.0
