operating_hours,revenue,tickets,showings
8,305731.9199999999,27032.0,134.0
10,317562.18,28078.0,134.0
12,317562.18,28078.0,129.0
14,317562.18,28078.0,141.0
16,317562.18,28078.0,130.0
18,317562.18,28078.0,125.0
