Elasticity,Optimal_Price,Optimal_Revenue,Optimal_Tickets,Revenue_vs_Baseline
0.5,17.5,117374.96761759934,6707.141006719962,27.953033715165482
0.8,17.5,102968.13633512639,5883.893504864362,12.247830073954328
1.0,9.0,94359.96336000004,10484.440373333335,2.863871387799457
1.1,8.0,97684.35772719195,12210.544715898995,6.487866803360559
1.2,8.0,101125.8737794195,12640.734222427433,10.239539143723604
1.5,8.0,112195.14716039927,14024.393395049905,22.306397511116405
1.8,8.0,124426.06706272469,15559.50838284058,35.639592300386596
