elasticity,ticket_price,revenue,tickets,avg_genres
2.0,8.0,133351.3982002,16675.174775025003,19.0
2.0,8.5,125504.25712960004,14771.089074070589,19.0
2.0,9.0,118579.02062239998,13175.446735822226,19.0
2.0,9.5,112338.01953701058,11825.054688106371,19.0
2.0,10.0,106721.11856016002,10672.111856016,19.0
2.0,10.5,101639.16053348574,9679.920050808163,19.0
2.0,11.0,97019.19869105457,8819.927153732235,19.0
2.0,11.5,92800.9726610087,8069.649796609453,19.0
2.0,12.0,88934.26546679992,7411.1887889,19.0
2.0,12.5,85376.89484812802,6830.151587850241,19.0
2.0,13.0,82093.16812320003,6314.8590864,19.0
2.0,13.5,79052.68041493332,5855.754104809877,19.0
2.0,14.0,76229.37040011435,5444.955028579593,19.0
2.0,14.5,73600.77142080001,5075.915270400001,19.0
2.0,15.0,71147.41237344002,4743.160824896,19.0
2.0,15.5,68852.33455494196,4442.086100318836,19.0
2.0,16.0,66700.6991001,4168.793693756251,19.0
2.0,16.5,64679.46579403637,3919.9676238809925,19.0
2.0,17.0,62777.12856480003,3692.7722685176473,19.0
2.0,17.5,60983.496320091464,3484.7712182909395,19.0
